domain,page,page_title,visits TS1528824914.80682,pageviews TS1528824914.80682,users TS1528824914.80682,pageviews_per_session TS1528824914.80682,avg_session_duration TS1528824914.80682,exits TS1528824914.80682,active_visitors TS1528824914.80682,visits TS1528824916.972721,pageviews TS1528824916.972721,users TS1528824916.972721,pageviews_per_session TS1528824916.972721,avg_session_duration TS1528824916.972721,exits TS1528824916.972721,active_visitors TS1528824916.972721
fns.usda.gov,fns.usda.gov/summerfoodrocks,Find Summer Meals in Your Community | Food and Nutrition Service,1046013,2421971,806522,2.3154310701683443,137.10967741318706,1041093,11.0,1046013,2421971,806522,2.315431070168344,137.10967741318703,1041093,11
usda.gov,usda.gov/,USDA,930291,1702870,423488,1.8304702507064996,268.9236324977884,908057,285.0,930291,1702870,423488,1.8304702507064994,268.92363249778833,908057,285
choosemyplate.gov,choosemyplate.gov/,Choose MyPlate |,842778,3232878,625558,3.835978157949069,248.50186881954681,840928,45.0,842778,3232878,625558,3.8359781579490684,248.5018688195468,840928,45
choosemyplate.gov,choosemyplate.gov/myplate,MyPlate | Choose MyPlate,842778,3232878,625558,3.835978157949069,248.50186881954681,840928,18.0,842778,3232878,625558,3.8359781579490684,248.5018688195468,840928,18
choosemyplate.gov,choosemyplate.gov/protein-foods,All about the Protein Foods Group | Choose MyPlate,842778,3232878,625558,3.835978157949069,248.50186881954681,840928,13.0,842778,3232878,625558,3.8359781579490684,248.5018688195468,840928,13
choosemyplate.gov,choosemyplate.gov/ten-tips-add-more-vegetables-to-your-day,10 Tips: Add More Vegetables to Your Day | Choose MyPlate,842778,3232878,625558,3.835978157949069,248.50186881954681,840928,11.0,842778,3232878,625558,3.8359781579490684,248.5018688195468,840928,11
inciweb.nwcg.gov,inciweb.nwcg.gov/incident/5822/,416 Fire Information - InciWeb the Incident Information System,841409,1880541,399497,2.2349903554632764,122.50514197019524,842334,124.0,841409,1880541,399497,2.2349903554632764,122.50514197019523,842334,124
inciweb.nwcg.gov,inciweb.nwcg.gov/incident/5836/,Badger Creek Fire Information - InciWeb the Incident Information System,841409,1880541,399497,2.2349903554632764,122.50514197019524,842334,100.0,841409,1880541,399497,2.2349903554632764,122.50514197019523,842334,100
inciweb.nwcg.gov,inciweb.nwcg.gov/,InciWeb the Incident Information System,841409,1880541,399497,2.2349903554632764,122.50514197019524,842334,97.0,841409,1880541,399497,2.2349903554632764,122.50514197019523,842334,97
inciweb.nwcg.gov,inciweb.nwcg.gov/incident/5820/,Ute Park Fire Information - InciWeb the Incident Information System,841409,1880541,399497,2.2349903554632764,122.50514197019524,842334,36.0,841409,1880541,399497,2.2349903554632764,122.50514197019523,842334,36
